Phenotype,Collapsing model,Phenotypic category,P value,No. samples,No. cases,No. cases with QV,Proportion cases with QV,No. controls,No. controls with QV,Proportion controls with QV,Odds ratio,Odds ratio LCI,Odds ratio UCI
41202#D00#Carcinoma in situ of oral cavity oesophagus and stomach,raredmgmtr,Chapter II Neoplasms,0.0239,211030,78,2,0.0256410256410256,210952,641,0.00303860593879176,8.6342,2.116,35.2305
union#I694#Sequelae of stroke not specified as haemorrhage or infarction,raredmgmtr,Chapter IX Diseases of the circulatory system,0.0018,127264,2097,15,0.00715307582260372,125167,364,0.0029081147586824,2.4702,1.4712,4.1475
union#B98#Other specified infectious agents as the cause of diseases classified to other chapters,raredmgmtr,Chapter I Certain infectious and parasitic diseases,0.0309,264635,3753,4,0.0010658140154543,260882,762,0.00292086077230319,0.3642,0.1363,0.9735
20002#1593#varicose ulcer,raredmgmtr,Chapter IX Diseases of the circulatory system,0.0881,191804,31,1,0.032258064516129,191773,569,0.0029670495846652,11.2012,1.5249,82.279
union#E209#Hypoparathyroidism unspecified,raredmgmtr,Chapter IV Endocrine nutritional and metabolic diseases,0.0471,197646,114,2,0.0175438596491228,197532,596,0.00301723265091226,5.9005,1.4542,23.9412
union#K519#Ulcerative colitis unspecified,raredmgmtr,Chapter XI Diseases of the digestive system,0.0085,139489,3857,3,0.00077780658542909,135632,391,0.00288280051905155,0.2692,0.0864,0.8388
union#H332#Serous retinal detachment,raredmgmtr,Chapter VII Diseases of the eye and adnexa,0.0255,209435,1436,0,0,207999,618,0.00297116813061601,0,,
union#K59#Other functional intestinal disorders,raredmgmtr,Chapter XI Diseases of the digestive system,0.0942,184893,30008,105,0.0034990669154892,154885,450,0.00290538141201537,1.2051,0.9741,1.4908
union#H331#Retinoschisis and retinal cysts,raredmgmtr,Chapter VII Diseases of the eye and adnexa,0.0828,264772,158,2,0.0126582278481013,264614,796,0.00300815527523109,4.2491,1.0515,17.1711
131967#Source of report of M82 osteoporosis in DCE,raredmgmtr,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0794,419387,157,2,0.0127388535031847,419230,1239,0.00295541826682251,4.3531,1.0778,17.5813
union#Block C00-C14#C00-C14 Malignant neoplasms of lip| oral cavity and pharynx,raredmgmtr,Chapter II Neoplasms,0.0623,196133,1925,11,0.00571428571428571,194208,614,0.00316155874114352,1.8121,0.9965,3.295
41202#Block K70-K77#K70-K77 Diseases of liver,raredmgmtr,Chapter XI Diseases of the digestive system,0.0113,199130,3113,2,0.00064246707356248,196017,590,0.00300994301514665,0.2129,0.0531,0.8538
40002#ChapterXIII#Chapter XIII Diseases of the musculoskeletal system and connective tissue,raredmgmtr,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.006,419255,543,6,0.0110497237569061,418712,1235,0.0029495213894037,3.777,1.686,8.4611
union#D124#Benign neoplasm: Descending colon,raredmgmtr,Chapter II Neoplasms,0.088,188655,3543,5,0.00141123341800734,185112,572,0.0030900211763689,0.4559,0.1889,1.1003
union#M5414#Radiculopathy Thoracic region,raredmgmtr,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.087,100646,31,1,0.032258064516129,100615,294,0.00292202951846146,11.3743,1.546,83.6832
union#I698#Sequelae of other and unspecified cerebrovascular diseases,raredmgmtr,Chapter IX Diseases of the circulatory system,0.0215,121826,199,3,0.0150753768844221,121627,356,0.00292698167347711,5.214,1.6593,16.3842
40006#Block C64-C68#C64-C68 Malignant neoplasms of urinary tract,raredmgmtr,Chapter II Neoplasms,0.0877,213692,3515,5,0.00142247510668563,210177,649,0.0030878735541948,0.4599,0.1907,1.1094
union#H742#Discontinuity and dislocation of ear ossicles,raredmgmtr,Chapter VIII Diseases of the ear and mastoid process,0.0928,192777,33,1,0.0303030303030303,192744,567,0.00294172581247665,10.5918,1.4448,77.647
41202#M13#Other arthritis,raredmgmtr,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0028,256147,2323,16,0.00688764528626776,253824,736,0.00289964699949571,2.3849,1.4509,3.9202
union#Z298#Other specified prophylactic measures,raredmgmtr,Chapter XXI Factors influencing health status and contact with health services,0.0785,119065,158,2,0.0126582278481013,118907,346,0.00290983709958203,4.3931,1.0847,17.793
130021#Source of report of A15 respiratory tuberculosis bacteriologically and histologically confirmed,raredmgmtr,Chapter I Certain infectious and parasitic diseases,0.0748,419387,2179,11,0.00504818724185406,417208,1230,0.00294816973787655,1.7159,0.9463,3.1113
40002#Block C50-C50#C50-C50 Malignant neoplasm of breast,raredmgmtr,Chapter II Neoplasms,0.0667,173403,148,2,0.0135135135135135,173255,490,0.00282820120631439,4.8299,1.1932,19.551
union#R480#Dyslexia and alexia,raredmgmtr,Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified,0.0868,120352,31,1,0.032258064516129,120321,351,0.0029171964993642,11.3932,1.5494,83.7775
20002#1562#food intolerance,raredmgmtr,Chapter XI Diseases of the digestive system,0.0837,266442,159,2,0.0125786163522013,266283,801,0.0030080778720384,4.2221,1.0449,17.061
41202#I453#Trifascicular block,raredmgmtr,Chapter IX Diseases of the circulatory system,0.0703,165338,147,2,0.0136054421768707,165191,485,0.00293599530240752,4.6841,1.1571,18.9628
41202#G454#Transient global amnesia,raredmgmtr,Chapter VI Diseases of the nervous system,0.0909,384631,576,4,0.00694444444444444,384055,1123,0.0029240603559386,2.3845,0.8903,6.3864
41202#M489#Spondylopathy unspecified,raredmgmtr,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0064,297651,41,2,0.0487804878048781,297610,865,0.00290648835724606,17.5927,4.2414,72.9718
union#C880#Waldenstrom's macroglobulinaemia,raredmgmtr,Chapter II Neoplasms,0.0916,207575,162,2,0.0123456790123457,207413,646,0.00311455887528747,4.0009,0.9899,16.1711
131091#Source of report of G64 other disorders of peripheral nervous system,raredmgmtr,Chapter VI Diseases of the nervous system,0.0355,419387,241,3,0.012448132780083,419146,1238,0.00295362475127998,4.255,1.3607,13.3056
union#I440#Atrioventricular block first degree,raredmgmtr,Chapter IX Diseases of the circulatory system,0.0541,105138,3527,17,0.00481996030620924,101611,291,0.00286386316442117,1.6863,1.0329,2.7532
union#M7910#Myalgia Multiple sites,raredmgmtr,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0298,139887,229,3,0.0131004366812227,139658,404,0.00289278093628722,4.5755,1.4586,14.3534
40002#M81#Osteoporosis without pathological fracture,raredmgmtr,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0095,322564,50,2,0.04,322514,940,0.0029146021568056,14.2542,3.4594,58.7332
42017#Source of chronic obstructive pulmonary disease report,raredmgmtr,Chapter X Diseases of the respiratory system,0.039,355213,22997,86,0.00373961821107101,332216,977,0.00294085775519542,1.2726,1.0204,1.5872
union#M464#Discitis unspecified,raredmgmtr,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0141,105503,319,4,0.0125391849529781,105184,300,0.0028521448128993,4.4395,1.6452,11.98
41202#Block I05-I09#I05-I09 Chronic rheumatic heart diseases,raredmgmtr,Chapter IX Diseases of the circulatory system,0.0862,254789,1167,0,0,253622,716,0.00282309894252076,0,,
union#K419#Unilateral or unspecified femoral hernia without obstruction or gangrene,raredmgmtr,Chapter XI Diseases of the digestive system,0.0045,127507,824,8,0.00970873786407767,126683,386,0.00304697552157748,3.2078,1.5874,6.4822
union#N71#Inflammatory disease of uterus except cervix,raredmgmtr,Chapter XIV Diseases of the genitourinary system,0.0102,91683,452,5,0.0110619469026549,91231,258,0.0028279861012156,3.9442,1.6199,9.6032
union#M220#Recurrent dislocation of patella,raredmgmtr,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0914,139691,33,1,0.0303030303030303,139658,404,0.00289278093628722,10.7715,1.4683,79.019
41202#M868#Other osteomyelitis,raredmgmtr,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0106,297663,53,2,0.0377358490566038,297610,865,0.00290648835724606,13.4532,3.27,55.3479
union#Block H15-H22#H15-H22 Disorders of sclera| cornea| iris and ciliary body,raredmgmtr,Chapter VII Diseases of the eye and adnexa,0.0895,258965,4981,22,0.00441678377835776,253984,768,0.00302381252362354,1.4627,0.9565,2.2368
41202#M502#Other cervical disc displacement,raredmgmtr,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0374,297860,250,3,0.012,297610,865,0.00290648835724606,4.1667,1.332,13.0337
20002#1415#ear|vestibular disorder,raredmgmtr,Chapter VIII Diseases of the ear and mastoid process,0.0779,410903,6250,26,0.00416,404653,1187,0.00293337748638957,1.4199,0.962,2.0959
40002#Block A30-A49#A30-A49 Other bacterial diseases,raredmgmtr,Chapter I Certain infectious and parasitic diseases,0.0469,322317,1082,7,0.00646950092421442,321235,960,0.00298846638753561,2.1724,1.0304,4.5802
131529#Source of report of J84 other interstitial pulmonary diseases,raredmgmtr,Chapter X Diseases of the respiratory system,0.0802,321221,3445,16,0.004644412191582,317776,937,0.00294861789436584,1.5778,0.9615,2.5892
union#M16#Coxarthrosis [arthrosis of hip],raredmgmtr,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0861,144066,23247,82,0.00352733686067019,120819,344,0.00284723429261954,1.2397,0.9739,1.578
41202#L918#Other hypertrophic disorders of skin,raredmgmtr,Chapter XII Diseases of the skin and subcutaneous tissue,0.0444,374918,643,5,0.00777604976671851,374275,1108,0.00296039008750251,2.6394,1.0927,6.3758
union#I48#Atrial fibrillation and flutter,raredmgmtr,Chapter IX Diseases of the circulatory system,0.0967,148542,32771,113,0.00344817063867444,115771,332,0.00286773026060067,1.2031,0.9715,1.4899
41202#M1394#Arthritis unspecified Hand,raredmgmtr,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0282,211816,387,4,0.0103359173126615,211429,618,0.00292296704803977,3.5626,1.3261,9.5711
union#H535#Colour vision deficiencies,raredmgmtr,Chapter VII Diseases of the eye and adnexa,0.0926,160035,32,1,0.03125,160003,484,0.00302494328231346,10.6318,1.4484,78.0388
union#F070#Organic personality disorder,raredmgmtr,Chapter V Mental and behavioural disorders,0.0961,166223,34,1,0.0294117647058824,166189,492,0.00296048474929147,10.2055,1.393,74.7667
union#N800#Endometriosis of uterus,raredmgmtr,Chapter XIV Diseases of the genitourinary system,0.0687,93440,2209,11,0.00497962879130829,91231,258,0.0028279861012156,1.7646,0.9637,3.2312
union#C022#Malignant neoplasm: Ventral surface of tongue,raredmgmtr,Chapter II Neoplasms,0.0053,171994,36,2,0.0555555555555556,171958,513,0.00298328661649938,19.6589,4.7105,82.0451
41202#D64#Other anaemias,raredmgmtr,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.0431,406905,8549,36,0.004211018832612,398356,1169,0.00293456104589864,1.4368,1.0305,2.0033
union#R739#Hyperglycaemia unspecified,raredmgmtr,Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified,0.05,83985,846,6,0.00709219858156028,83139,255,0.00306715259986288,2.3217,1.0304,5.2313
20002#1242#eye|eyelid problem,raredmgmtr,Chapter VII Diseases of the eye and adnexa,0.0351,305272,16985,36,0.00211951722107742,288287,868,0.00301088845490778,0.7033,0.5038,0.982
41202#Block D60-D64#D60-D64 Aplastic and other anaemias,raredmgmtr,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.0332,407662,9306,39,0.00419084461637653,398356,1169,0.00293456104589864,1.4299,1.0386,1.9686
41202#Z40#Prophylactic surgery,raredmgmtr,Chapter XXI Factors influencing health status and contact with health services,0.0032,202057,806,8,0.00992555831265509,201251,592,0.00294160029018489,3.398,1.6856,6.8502
40002#A49#Bacterial infection of unspecified site,raredmgmtr,Chapter I Certain infectious and parasitic diseases,0.0016,270840,76,3,0.0394736842105263,270764,814,0.00300630807640602,13.6288,4.2867,43.3305
41202#Z853#Personal history of malignant neoplasm of breast,raredmgmtr,Chapter XXI Factors influencing health status and contact with health services,0.0927,187801,33,1,0.0303030303030303,187768,552,0.00293979804865579,10.5987,1.4457,77.7016
41202#R943#Abnormal results of cardiovascular function studies,raredmgmtr,Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified,0.0111,265008,150,3,0.02,264858,803,0.0030318132735277,6.7109,2.1352,21.0928
41202#H46#Optic neuritis,raredmgmtr,Chapter VII Diseases of the eye and adnexa,0.0281,276817,85,2,0.0235294117647059,276732,843,0.00304626859199514,7.886,1.9366,32.1126
41202#H610#Perichondritis of external ear,raredmgmtr,Chapter VIII Diseases of the ear and mastoid process,0.0523,348088,470,4,0.00851063829787234,347618,1026,0.00295151574429402,2.8996,1.0816,7.7733
41202#I429#Cardiomyopathy unspecified,raredmgmtr,Chapter IX Diseases of the circulatory system,0.0711,220753,158,2,0.0126582278481013,220595,607,0.00275164894943222,4.6464,1.1492,18.7867
union#F412#Mixed anxiety and depressive disorder,raredmgmtr,Chapter V Mental and behavioural disorders,0.04,194480,3501,17,0.00485575549842902,190979,554,0.00290084250100796,1.6772,1.0339,2.7207
union#H21#Other disorders of iris and ciliary body,raredmgmtr,Chapter VII Diseases of the eye and adnexa,0.0896,241634,1093,7,0.00640439158279963,240541,742,0.00308471320897477,2.0831,0.9873,4.3953
41202#Q21#Congenital malformations of cardiac septa,raredmgmtr,Chapter XVII Congenital malformations deformations and chromosomal abnormalities,0.0425,416625,441,4,0.0090702947845805,416184,1222,0.0029362012955808,3.1082,1.1595,8.3323
union#M8566#Other cyst of bone Lower leg,raredmgmtr,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0887,139690,32,1,0.03125,139658,404,0.00289278093628722,11.119,1.5142,81.6472
union#Block K70-K77#K70-K77 Diseases of liver,raredmgmtr,Chapter XI Diseases of the digestive system,0.0554,149670,12715,25,0.00196618167518679,136955,403,0.00294257237778832,0.6675,0.4455,1.0002
union#J449#Chronic obstructive pulmonary disease unspecified,raredmgmtr,Chapter X Diseases of the respiratory system,0.0067,162659,17337,72,0.00415296764146046,145322,422,0.00290389617538982,1.4319,1.1147,1.8394
union#R223#Localized swelling mass and lump upper limb,raredmgmtr,Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified,0.0263,105233,377,4,0.0106100795755968,104856,307,0.00292782482642863,3.652,1.3548,9.8441
union#M4052#Lordosis unspecified Cervical region,raredmgmtr,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0914,139691,33,1,0.0303030303030303,139658,404,0.00289278093628722,10.7715,1.4683,79.019
41202#N88#Other noninflammatory disorders of cervix uteri,raredmgmtr,Chapter XIV Diseases of the genitourinary system,0.0306,159468,592,5,0.00844594594594595,158876,459,0.0028890455449533,2.9398,1.2133,7.1233
131853#Source of report of M07 psoriatic and enteropathic arthropathies,raredmgmtr,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0378,419387,1279,0,0,418108,1241,0.00296813263558698,0,,
union#J382#Nodules of vocal cords,raredmgmtr,Chapter X Diseases of the respiratory system,0.0081,173728,138,3,0.0217391304347826,173590,509,0.0029321965551011,7.5565,2.3989,23.8032
union#H15#Disorders of sclera,raredmgmtr,Chapter VII Diseases of the eye and adnexa,0.0066,219109,1090,9,0.00825688073394496,218019,654,0.00299973855489659,2.7671,1.4294,5.3566
40002#I10#Essential (primary) hypertension,raredmgmtr,Chapter IX Diseases of the circulatory system,0.0618,282669,2000,11,0.0055,280669,852,0.00303560421706708,1.8163,1.0004,3.2977
41202#C491#Malignant neoplasm: Connective and soft tissue of upper limb including shoulder,raredmgmtr,Chapter II Neoplasms,0.0217,187449,72,2,0.0277777777777778,187377,586,0.00312738489782631,9.1073,2.2281,37.2259
union#R238#Other and unspecified skin changes,raredmgmtr,Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified,0.0808,93720,738,5,0.00677506775067751,92982,285,0.00306510937600826,2.2186,0.9137,5.3874
union#Block H60-H62#H60-H62 Diseases of external ear,raredmgmtr,Chapter VIII Diseases of the ear and mastoid process,0.0463,158412,2244,12,0.0053475935828877,156168,455,0.00291352902002971,1.8399,1.0356,3.2689
union#F339#Recurrent depressive disorder unspecified,raredmgmtr,Chapter V Mental and behavioural disorders,0.036,199225,602,5,0.00830564784053156,198623,591,0.0029754862226429,2.8064,1.1595,6.7923
